CMDLINE python bst.py
MEM 72.367188 1683720344.9694
MEM 72.367188 1683720345.0717
MEM 72.367188 1683720345.1728
MEM 72.378906 1683720345.2755
MEM 72.378906 1683720345.3770
MEM 72.378906 1683720345.4823
MEM 72.378906 1683720345.5875
MEM 72.378906 1683720345.6879
MEM 72.378906 1683720345.7904
MEM 72.378906 1683720345.8907
MEM 72.378906 1683720345.9950
MEM 72.378906 1683720346.1002
MEM 72.550781 1683720346.2054
MEM 72.550781 1683720346.3060
MEM 72.550781 1683720346.4101
MEM 72.550781 1683720346.5128
MEM 72.550781 1683720346.6136
MEM 72.550781 1683720346.7151
MEM 72.550781 1683720346.8173
MEM 72.550781 1683720346.9179
MEM 72.550781 1683720347.0190
MEM 72.550781 1683720347.1205
MEM 72.550781 1683720347.2246
MEM 72.679688 1683720347.3283
MEM 73.218750 1683720347.4299
MEM 73.230469 1683720347.5345
MEM 73.230469 1683720347.6397
MEM 73.230469 1683720347.7403
MEM 73.230469 1683720347.8408
MEM 73.230469 1683720347.9425
MEM 73.230469 1683720348.0462
MEM 73.230469 1683720348.1465
MEM 73.230469 1683720348.2504
MEM 73.230469 1683720348.3506
MEM 73.230469 1683720348.4528
MEM 73.230469 1683720348.5537
MEM 73.230469 1683720348.6589
MEM 73.230469 1683720348.7641
MEM 73.230469 1683720348.8655
MEM 73.230469 1683720348.9689
MEM 73.230469 1683720349.0741
MEM 73.230469 1683720349.1793
MEM 73.230469 1683720349.2831
MEM 73.230469 1683720349.3848
MEM 73.230469 1683720349.4900
MEM 73.230469 1683720349.5951
MEM 73.230469 1683720349.6996
MEM 73.230469 1683720349.8044
MEM 73.230469 1683720349.9052
MEM 73.230469 1683720350.0066
MEM 73.230469 1683720350.1088
MEM 73.230469 1683720350.2122
MEM 73.230469 1683720350.3174
MEM 73.230469 1683720350.4224
MEM 73.230469 1683720350.5244
MEM 73.230469 1683720350.6297
MEM 73.230469 1683720350.7303
MEM 73.230469 1683720350.8346
MEM 73.230469 1683720350.9368
MEM 73.230469 1683720351.0378
MEM 73.230469 1683720351.1430
MEM 73.230469 1683720351.2452
MEM 73.230469 1683720351.3461
MEM 73.230469 1683720351.4467
MEM 73.230469 1683720351.5470
MEM 73.230469 1683720351.6496
MEM 73.230469 1683720351.7540
MEM 73.230469 1683720351.8592
MEM 73.230469 1683720351.9599
MEM 73.230469 1683720352.0639
MEM 73.230469 1683720352.1691
MEM 73.230469 1683720352.2725
MEM 73.230469 1683720352.3735
MEM 73.292969 1683720352.4785
MEM 73.292969 1683720352.5829
MEM 73.292969 1683720352.6838
MEM 73.292969 1683720352.7854
MEM 73.292969 1683720352.8904
MEM 73.296875 1683720352.9915
MEM 73.296875 1683720353.0945
MEM 73.296875 1683720353.1952
MEM 73.296875 1683720353.2967
MEM 73.296875 1683720353.3970
MEM 73.296875 1683720353.4984
MEM 73.296875 1683720353.5996
